"Time","PosX","PosY","PosZ","AbsolutePoz"
4.138799159E0,1.316585541E-1,-5.760788918E-1,-2.335634232E-1,6.354154051E-1
4.155395717E0,1.426086426E-1,-5.420032740E-1,-2.460436821E-1,6.120802786E-1
4.171986202E0,1.389207840E-1,-5.559145212E-1,-2.526659966E-1,6.262428003E-1
4.188581234E0,1.295785904E-1,-5.075295568E-1,-2.339587212E-1,5.736841860E-1
4.205173682E0,1.389245987E-1,-5.070998669E-1,-2.384243011E-1,5.773183407E-1
4.221768633E0,1.341199875E-1,-5.401121974E-1,-2.384486198E-1,6.054478517E-1
4.238360898E0,1.245803833E-1,-4.918716550E-1,-2.289719582E-1,5.566741906E-1
4.254955726E0,1.431789398E-1,-4.628426433E-1,-2.382926941E-1,5.399138165E-1
4.271548298E0,1.277608871E-1,-3.621721268E-1,-2.365827560E-1,4.510686136E-1
4.288143197E0,1.550741196E-1,-4.384634495E-1,-2.783780098E-1,5.420262867E-1
4.304735259E0,1.508169174E-1,-4.286249578E-1,-2.744832039E-1,5.308541478E-1
4.321330465E0,1.516103745E-1,-4.905841351E-1,-2.752051353E-1,5.825773474E-1
4.337922708E0,1.469602585E-1,-5.428221822E-1,-2.659010887E-1,6.220583799E-1
4.354517730E0,1.463155746E-1,-6.523612738E-1,-2.643113136E-1,7.189185972E-1
4.371109966E0,1.224174500E-1,-5.753906965E-1,-2.113862038E-1,6.250956830E-1
4.387704835E0,1.324148178E-1,-6.465792656E-1,-2.354788780E-1,7.007486944E-1
4.404297537E0,1.523227692E-1,-6.937487125E-1,-2.617039680E-1,7.569534127E-1
4.420892133E0,1.719980240E-1,-7.743253708E-1,-2.971291542E-1,8.470235147E-1
4.437484509E0,1.410188675E-1,-7.400678992E-1,-2.518901825E-1,7.943774169E-1
4.454075106E0,1.425437927E-1,-6.866099238E-1,-2.502689362E-1,7.445713268E-1
4.470676120E0,1.631603241E-1,-8.531391025E-1,-2.866458893E-1,9.146767108E-1
4.487266757E0,1.435031891E-1,-7.900230885E-1,-2.544174194E-1,8.422932203E-1
4.503859053E0,1.338796616E-1,-7.507117391E-1,-2.468709946E-1,8.015217819E-1
4.520453832E0,1.234216690E-1,-6.493844986E-1,-2.146110535E-1,6.949755677E-1
4.537046371E0,1.078414917E-1,-3.186149597E-1,-1.919403076E-1,3.872807271E-1
4.553641321E0,1.331071854E-1,-2.702717483E-1,-2.238278389E-1,3.753175218E-1
4.570233445E0,1.620483398E-1,-5.948401093E-1,-2.862691879E-1,6.797385292E-1
4.586828396E0,1.584033966E-1,-7.230526805E-1,-2.796092033E-1,7.912509851E-1
4.603420864E0,1.347379684E-1,-7.221490145E-1,-2.431969643E-1,7.738205752E-1
4.620019233E0,1.378355026E-1,-8.843165636E-1,-2.429118156E-1,9.273729350E-1
4.636604469E0,9.253311157E-2,-7.638292313E-1,-1.644258499E-1,7.867867128E-1
4.653199715E0,8.253765106E-2,-7.532715797E-1,-1.447086334E-1,7.714733471E-1
4.669795459E0,1.046342850E-1,-7.761675119E-1,-2.002677917E-1,8.083882289E-1
4.686390338E0,1.274528503E-1,-7.220410705E-1,-2.272963524E-1,7.676269721E-1
4.702982370E0,1.226444244E-1,-6.970996857E-1,-2.225828171E-1,7.419789330E-1
4.719577382E0,1.369829178E-1,-6.914007664E-1,-2.481389046E-1,7.472431033E-1
4.736170013E0,1.427345276E-1,-7.478106022E-1,-2.683429718E-1,8.072185532E-1
4.752764791E0,1.248912811E-1,-6.320332289E-1,-2.223076820E-1,6.815310264E-1
4.769359396E0,1.247415543E-1,-6.264023781E-1,-2.125868797E-1,6.731519710E-1
4.785949687E0,1.197185516E-1,-5.634396076E-1,-2.218575478E-1,6.172661456E-1
4.802544486E0,1.235923767E-1,-5.627297759E-1,-2.204704285E-1,6.168849861E-1
4.819139640E0,1.174955368E-1,-5.381318331E-1,-2.136511803E-1,5.907942940E-1
4.835731671E0,1.351194382E-1,-5.373458266E-1,-2.400102615E-1,6.038234225E-1
4.852326500E0,1.524200439E-1,-5.653385520E-1,-2.620186806E-1,6.414774642E-1
4.868919162E0,1.332759857E-1,-5.071797371E-1,-2.419896126E-1,5.775402555E-1
4.885514020E0,1.371479034E-1,-5.589898229E-1,-2.511401176E-1,6.279733499E-1
4.902106001E0,1.364603043E-1,-5.677019358E-1,-2.501258850E-1,6.351927746E-1
4.918701166E0,1.212167740E-1,-4.234918058E-1,-2.196888924E-1,4.922418362E-1
4.935293624E0,1.294460297E-1,-5.088812113E-1,-2.361521721E-1,5.757466545E-1
4.951885809E0,1.390323639E-1,-6.466068029E-1,-2.563953400E-1,7.093440112E-1
4.968483089E0,1.134939194E-1,-4.639931917E-1,-1.980414391E-1,5.170986011E-1
4.985072993E0,1.176395416E-1,-4.440320432E-1,-2.267765999E-1,5.122803367E-1
5.001670641E0,1.071319580E-1,-4.671097696E-1,-2.014312744E-1,5.198493547E-1
5.018260332E0,1.294879913E-1,-4.280778766E-1,-2.229094505E-1,4.997063452E-1
5.034857754E0,1.424016953E-1,-6.712067723E-1,-2.593336105E-1,7.335193901E-1
