"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.145661010E-1,-1.348953724E0,2.045863420E-1,9.695118904E0,9.790651780E0
3.166402390E-1,-1.343569875E0,2.380858511E-1,9.719047546E0,9.814364477E0
3.187157080E-1,-1.333998680E0,2.189432681E-1,9.733404160E0,9.826832916E0
3.207898760E-1,-1.328614831E0,2.045863420E-1,9.756733894E0,9.848904976E0
3.228631390E-1,-1.323829174E0,1.806581169E-1,9.757332802E0,9.848385880E0
3.249375720E-1,-1.333400369E0,1.758724600E-1,9.781260490E0,9.873294508E0
3.270131030E-1,-1.332802176E0,1.758724600E-1,9.823733330E0,9.915292699E0
3.290858460E-1,-1.351944804E0,1.519442350E-1,9.843474388E0,9.937043314E0
3.311600240E-1,-1.360917926E0,1.322034448E-1,9.881759644E0,9.975908430E0
3.332337950E-1,-1.351346612E0,1.274178028E-1,9.910472870E0,1.000299183E1
3.353086860E-1,-1.356132269E0,1.274178028E-1,9.920044899E0,1.001312243E1
3.373798230E-1,-1.355534077E0,1.034895778E-1,9.948758125E0,1.004121362E1
3.394416000E-1,-1.355534077E0,7.956135273E-2,9.948758125E0,1.004099551E1
3.415314130E-1,-1.355534077E0,6.041877344E-2,9.972686768E0,1.006457175E1
3.436061610E-1,-1.341177106E0,3.649054468E-2,9.977472305E0,1.006727576E1
3.456834630E-1,-1.354935765E0,4.127619043E-2,9.991828918E0,1.008336252E1
3.477553520E-1,-1.354935765E0,4.127619043E-2,1.000618649E1,1.009758994E1
3.498315030E-1,-1.345364571E0,2.213360928E-2,9.996614456E0,1.008676342E1
3.518938300E-1,-1.364507079E0,2.691925503E-2,1.001097202E1,1.010357190E1
3.539820970E-1,-1.355534077E0,2.991028363E-3,9.987043381E0,1.007861682E1
3.560492360E-1,-1.359721422E0,-6.580262445E-3,1.001575756E1,1.010763499E1
3.581268820E-1,-1.354935765E0,-2.572284266E-2,1.001575756E1,1.010702291E1
3.601955680E-1,-1.350150228E0,-4.965107143E-2,1.004925728E1,1.013967173E1
3.622735410E-1,-1.349551916E0,-4.965107143E-2,1.005882835E1,1.014907796E1
3.643476380E-1,-1.339980721E0,-3.050848842E-2,1.005404282E1,1.014299049E1
3.664194360E-1,-1.320838094E0,-4.007977992E-2,1.006361389E1,1.015000218E1
3.684843560E-1,-1.325623751E0,-4.007977992E-2,1.007318497E1,1.016011516E1
3.705713920E-1,-1.330409408E0,-4.965107143E-2,1.010189915E1,1.018925026E1
3.726445330E-1,-1.325025558E0,-5.024927482E-2,1.012104130E1,1.020753127E1
3.747220980E-1,-1.320239902E0,-5.982056633E-2,1.014437199E1,1.023009750E1
3.767938870E-1,-1.300499082E0,-6.460621208E-2,1.017308521E1,1.025607793E1
3.788673210E-1,-1.301097274E0,-5.982056633E-2,1.013958549E1,1.022289717E1
3.809395360E-1,-1.305284739E0,-3.589234129E-2,1.017787075E1,1.026129181E1
3.830075490E-1,-1.281356573E0,-4.067798331E-2,1.018265629E1,1.026304138E1
3.850902830E-1,-1.299900889E0,-3.589234129E-2,1.021615601E1,1.029858603E1
3.871626710E-1,-1.304686546E0,-4.067798331E-2,1.021615601E1,1.029920896E1
3.892303270E-1,-1.304686546E0,-3.110669367E-2,1.024487019E1,1.032765897E1
3.913128780E-1,-1.323230863E0,-5.503492057E-2,1.028315544E1,1.036808828E1
3.933876570E-1,-1.332802176E0,-5.503492057E-2,1.030708313E1,1.039304350E1
3.954639310E-1,-1.342373490E0,-7.417750359E-2,1.030708313E1,1.039439424E1
3.975356370E-1,-1.361516118E0,-8.374879509E-2,1.031246758E1,1.040229434E1
3.996093260E-1,-1.361516118E0,-9.332008660E-2,1.029811001E1,1.038814250E1
4.016839920E-1,-1.380060434E0,-7.896314561E-2,1.033639526E1,1.042841642E1
4.037579880E-1,-1.394417405E0,-8.853443712E-2,1.034118080E1,1.043514536E1
4.058282600E-1,-1.389631748E0,-9.332008660E-2,1.033639526E1,1.042980595E1
4.079068420E-1,-1.408774376E0,-8.853443712E-2,1.035553837E1,1.045129937E1
4.099815590E-1,-1.432702541E0,-1.076770201E-1,1.037049294E1,1.046954415E1
4.120560220E-1,-1.436890006E0,-1.322034448E-1,1.041835022E1,1.051780167E1
4.141291830E-1,-1.455434322E0,-1.178465188E-1,1.047099209E1,1.057231537E1
4.162030670E-1,-1.435693622E0,-1.226321608E-1,1.049432182E1,1.059278270E1
4.182782310E-1,-1.440479279E0,-1.417747438E-1,1.053260708E1,1.063159877E1
4.203540470E-1,-1.420738459E0,-1.369891018E-1,1.056610680E1,1.066207656E1
4.224262110E-1,-1.425524116E0,-1.513460279E-1,1.059960651E1,1.069610597E1
4.245006030E-1,-1.420140266E0,-1.609173268E-1,1.064746284E1,1.074295852E1
4.265750760E-1,-1.414756417E0,-1.609173268E-1,1.069472122E1,1.078909135E1
4.286488670E-1,-1.408774376E0,-1.567298770E-1,1.076650524E1,1.085941272E1
4.307230560E-1,-1.393819213E0,-1.663011760E-1,1.085204887E1,1.094245644E1
4.327970920E-1,-1.398006678E0,-1.758724600E-1,1.090469074E1,1.099534601E1
4.348720230E-1,-1.387837172E0,-1.902294010E-1,1.094297600E1,1.103227098E1
